"reef","country","year","season","complex","total","disease","SEB","BB","BrB","WS","GA","AN","plastic"
"Ceningan Point","Indonesia",2013,"Winter","Tabular",66,2,1,0,0,1,0,0,1
"Ceningan Wall","Indonesia",2013,"Winter","Tabular",8,0,0,0,0,0,0,0,1
"Crystal Bay","Indonesia",2013,"Winter","Tabular",17,0,0,0,0,0,0,0,6
"Eco Resort","Indonesia",2013,"Winter","Tabular",12,2,0,0,0,1,1,0,0
"Jam Island","Indonesia",2013,"Winter","Tabular",82,0,0,0,0,0,0,0,0
"Kapopoang Fished","Indonesia",2013,"Winter","Tabular",4,0,0,0,0,0,0,0,0
"Mangrove Point","Indonesia",2013,"Winter","Tabular",2,0,0,0,0,0,0,0,0
"Pad","Indonesia",2013,"Winter","Tabular",1,0,0,0,0,0,0,0,0
"Papandangan Fished","Indonesia",2013,"Winter","Tabular",8,0,0,0,0,0,0,0,0
"Pele","Indonesia",2013,"Winter","Tabular",19,3,1,0,0,0,2,0,1
"Pele North","Indonesia",2013,"Winter","Tabular",22,0,0,0,0,0,0,0,0
"Sental","Indonesia",2013,"Winter","Tabular",1,0,0,0,0,0,0,0,0
"Tienjung","Indonesia",2013,"Winter","Tabular",4,0,0,0,0,0,0,0,0
"Turtle Point","Indonesia",2013,"Winter","Tabular",5,0,0,0,0,0,0,0,0
"Waaf","Indonesia",2013,"Winter","Tabular",3,0,0,0,0,0,0,0,0
"124","Myanmar",2014,"Winter","Branching",3,0,0,0,0,0,0,0,0
"125","Myanmar",2014,"Winter","Branching",50,5,0,1,0,4,0,0,0
"126","Myanmar",2014,"Winter","Branching",10,0,0,0,0,0,0,0,0
"127","Myanmar",2014,"Winter","Branching",56,3,0,1,0,2,0,0,0
"129","Myanmar",2014,"Winter","Branching",24,0,0,0,0,0,0,0,0
"130","Myanmar",2014,"Winter","Branching",23,0,0,0,0,0,0,0,0
"131","Myanmar",2014,"Winter","Branching",810,59,0,0,0,59,0,0,0
"133","Myanmar",2014,"Winter","Branching",9,0,0,0,0,0,0,0,0
"136","Myanmar",2014,"Winter","Branching",581,130,0,128,2,0,0,0,37
"137","Myanmar",2014,"Winter","Branching",28,3,0,0,0,3,0,0,0
"138","Myanmar",2014,"Winter","Branching",37,0,0,0,0,0,0,0,0
"139","Myanmar",2014,"Winter","Branching",1,0,0,0,0,0,0,0,0
"143","Myanmar",2014,"Winter","Branching",186,2,0,2,0,0,0,0,0
"144","Myanmar",2014,"Winter","Branching",749,0,0,0,0,0,0,0,0
"145","Myanmar",2014,"Winter","Branching",82,0,0,0,0,0,0,0,0
"146","Myanmar",2014,"Winter","Branching",21,0,0,0,0,0,0,0,0
"148","Myanmar",2014,"Winter","Branching",29,5,2,1,0,2,0,0,3
"149","Myanmar",2014,"Winter","Branching",493,2,0,2,0,0,0,0,0
"150","Myanmar",2014,"Winter","Branching",8,0,0,0,0,0,0,0,0
"124","Myanmar",2014,"Winter","Massive",5,0,0,0,0,0,0,0,0
"125","Myanmar",2014,"Winter","Massive",136,6,0,5,0,0,0,1,4
"126","Myanmar",2014,"Winter","Massive",181,11,0,5,0,6,0,0,1
"127","Myanmar",2014,"Winter","Massive",39,2,0,0,0,2,0,0,0
"129","Myanmar",2014,"Winter","Massive",110,14,1,0,0,12,0,1,0
"130","Myanmar",2014,"Winter","Massive",329,1,0,0,0,1,0,0,0
"131","Myanmar",2014,"Winter","Massive",43,15,0,1,0,14,0,0,1
"133","Myanmar",2014,"Winter","Massive",233,2,0,1,0,1,0,0,1
"136","Myanmar",2014,"Winter","Massive",34,2,0,1,0,1,0,0,1
"137","Myanmar",2014,"Winter","Massive",177,28,0,5,0,23,0,0,6
"138","Myanmar",2014,"Winter","Massive",114,8,2,2,0,3,1,0,2
"139","Myanmar",2014,"Winter","Massive",271,17,0,6,0,10,1,0,3
"143","Myanmar",2014,"Winter","Massive",330,0,0,0,0,0,0,0,0
"144","Myanmar",2014,"Winter","Massive",859,0,0,0,0,0,0,0,0
"145","Myanmar",2014,"Winter","Massive",396,5,4,1,0,0,0,0,5
"146","Myanmar",2014,"Winter","Massive",399,0,0,0,0,0,0,0,0
"148","Myanmar",2014,"Winter","Massive",103,22,3,1,1,15,2,0,4
"149","Myanmar",2014,"Winter","Massive",65,1,0,1,0,0,0,0,1
"150","Myanmar",2014,"Winter","Massive",118,3,0,1,0,1,1,0,0
"125","Myanmar",2014,"Winter","Tabular",19,0,0,0,0,0,0,0,0
"126","Myanmar",2014,"Winter","Tabular",4,1,0,1,0,0,0,0,0
"129","Myanmar",2014,"Winter","Tabular",6,2,1,0,0,1,0,0,1
"130","Myanmar",2014,"Winter","Tabular",4,0,0,0,0,0,0,0,0
"133","Myanmar",2014,"Winter","Tabular",2,0,0,0,0,0,0,0,0
"136","Myanmar",2014,"Winter","Tabular",18,1,0,0,0,1,0,0,0
"137","Myanmar",2014,"Winter","Tabular",6,0,0,0,0,0,0,0,0
"138","Myanmar",2014,"Winter","Tabular",3,0,0,0,0,0,0,0,0
"139","Myanmar",2014,"Winter","Tabular",2,0,0,0,0,0,0,0,0
"143","Myanmar",2014,"Winter","Tabular",43,0,0,0,0,0,0,0,0
"145","Myanmar",2014,"Winter","Tabular",20,0,0,0,0,0,0,0,0
"146","Myanmar",2014,"Winter","Tabular",17,0,0,0,0,0,0,0,0
"148","Myanmar",2014,"Winter","Tabular",12,5,1,1,1,2,0,0,3
"149","Myanmar",2014,"Winter","Tabular",12,0,0,0,0,0,0,0,0
